,activity_id,join_date,userid,weight,feedback
158,443468,2024-07-21T11:06:22.730029Z,13155,15.0,"several pax of meat 
 4 pax of mixed vegetables 
 a lot of avocadoes 
 a lot of bread 
 some pastries"
159,441053,2024-07-21T18:05:12.914281Z,2834,0.0,
160,440677,2024-07-21T18:11:29.943444Z,2834,0.0,"4 liters of milk 
 several bags of different spices 
 tomato dippings 
 pesto 
 tomato sauce 
 mushrooms sauce 
 several packages of algae 
 some sweets"
161,440235,2024-07-18T15:53:56.264691Z,2834,0.0,
162,440033,2024-07-17T18:44:20.849983Z,15952,3.0,"i got 5 packs of pasta 
 1 pack of macaroni"
163,442250,2024-07-17T16:59:54.115462Z,13155,20.0,"quite a lot of food with green sticker several pax cabbage 
 meatballs 
 burger 
 pre cook macaroni 
 pastries 
 donuts 
 breads"
164,439192,2024-07-15T18:48:38.376460Z,13155,10.0,"i got 6 pax of fillet chicken breast 
 3 pizza 
 3 yoghurts 
 1 bag of pastries 
 5 big breads"
165,438308,2024-07-21T18:14:02.516219Z,2834,0.0,"several liters of milk 
 some beer 
 a lot of silk tofu 
 sweets"
166,440332,2024-07-12T10:22:35.231311Z,16248,34.0,"we received 4 portions of vegi chicken 
 4 vegi burgers 
 5 packs sliced salami 
 besidesalso got 2 kg bananas 
 4 packs of pre cut raw carrot 
 white cabbage mix 
 as usual about 30 pastries 
 28 bread loaves"
167,437868,2024-07-11T16:38:06.736113Z,2834,6.0,"got a lot of bananas 
 around 2 kg of peaches 
 one 1 kg of carrots"
168,436943,2024-07-08T18:33:26.289947Z,13155,10.0,"got pizza 
 450 gr potatoes 
 sushi 
 tonijn salad 
 kabeljauw burger 
 chicken burger 
 bread 
 pastry as usual"
