,lat,lon,city,housenumber,postcode,street,name,opening_hours,amenity_type,amenity_extra,website,x,y,statistical_sector
356,50.8786784,4.7054887,Leuven,1,3000,Monseigneur Ladeuzeplein,Picasso,,cafe,brasserie,,173698.71281886802,174310.79332970455,Ladeuze
357,50.8788461,4.705721,Leuven,4,3000,Monseigneur Ladeuzeplein,Decadenza Gelateria,,ice_cream,,,173714.9766095953,174329.52268874366,Ladeuze
358,50.8781456,4.7021679,Leuven,22,3000,Muntstraat,Barcode,,bar,,,173465.2709249899,174250.4675826747,Leuven-centrum
359,50.8780654,4.7025915,Leuven,28-30,3000,Muntstraat,Libertad,,pub,,http://www.libertad.be,173495.1232343674,174241.68030885886,Leuven stadspark
360,50.8782002,4.7024737,Leuven,11,3000,Muntstraat,Quo Vadis,,restaurant,pizza,http://www.quovadisleuven.be,173486.76516225789,174256.63819561712,Leuven-centrum
361,50.878234,4.7023328,Leuven,9,3000,Muntstraat,Samourai,"Mo-Su 12:00-14:30,17:30-22:30",restaurant,sushi;japanese;fusion,https://samouraisushi.be/,173476.83198907872,174260.35347908363,Leuven-centrum
362,50.877903,4.7032044,Leuven,44,3000,Muntstraat,Mykene,,restaurant,belgian,https://www.mykene.be/,173538.33951320586,174223.80934343208,Leuven stadspark
363,50.878299,4.7013325,Leuven,8,3000,Muntstraat,Casa Mia,,restaurant,italian,https://www.ristorantecasamia.be/,173406.40056165826,174267.26768551674,Leuven-centrum
364,50.8781327,4.7028593,Leuven,19,3000,Muntstraat,PepeNero,,restaurant,italian,https://www.pepenero.be/,173513.9367384556,174249.2517412277,Leuven-centrum
365,50.8781512,4.7027467,Leuven,17,3000,Muntstraat,Ascoli,,restaurant,,,173506.0028990623,174251.27396867238,Leuven-centrum
366,50.8781115,4.7029597,Leuven,21,3000,Muntstraat,Sakura,,restaurant,japanese,https://www.resto-sakura.be/,173521.0133265666,174246.9253038736,Leuven-centrum
367,50.8782562,4.7022316,Leuven,7,3000,Muntstraat,You Sushi,"Mo-Sa 11:45-14:30,17:30-22:00; Su closed",restaurant,sushi;japanese,,173469.69863616725,174262.79096356127,Leuven-centrum
368,50.8779902,4.7029174,Leuven,36,3000,Muntstraat,Trente,,restaurant,international;fine_dining,http://www.trente.be,173518.0971835201,174233.41839737352,Leuven stadspark
369,50.8780422,4.7032037,Leuven,27,3000,Muntstraat,Troubadour,,restaurant,regional;belgian,https://www.troubadour.be,173538.22036133273,174239.2938077422,Leuven-centrum
370,50.8783227,4.7011031,Leuven,2-4,3000,Muntstraat,Burger Folie,,restaurant,burger,http://www.burgerfolie.be,173390.24407751276,174269.83165361919,Leuven-centrum
371,50.8782195,4.7017904,Leuven,14,3000,Muntstraat,La Favola,,restaurant,italian,https://www.lafavola.be/,173438.66628632092,174258.5687918365,Leuven-centrum
372,50.8782373,4.7016999,Leuven,12,3000,Muntstraat,La Cantina del Coronel,Mo-Sa 18:00-22:30; Su 18:00-22:00,restaurant,mexican,https://www.lacantina.be/,173432.28819118615,174260.52025323454,Leuven-centrum
373,50.8782678,4.7015134,Leuven,10,3000,Muntstraat,Wabi Sabi,"Mo-Su 11:00-14:30,17:30-22:00",restaurant,japanese;thai,https://www.wabisabisushi.be/,173419.14748496417,174263.85413422436,Leuven-centrum
374,50.8779639,4.7030166,Leuven,38-42,3000,Muntstraat,New Mexico,,restaurant,mexican,https://www.newmexico.be,173525.09190006665,174230.52425790764,Leuven stadspark
375,50.8782044,4.7018648,Leuven,16,3000,Muntstraat,Antico Pizza,"Mo-Tu 17:30-22:00; We-Su 12:00-14:30,17:30-22:00",restaurant,pizza,https://anticopizza.be/,173443.90995173753,174256.9125941638,Leuven-centrum
376,50.8608152,4.6957085,Heverlee,230,3001,Naamsesteenweg,Roderburg,"Tu-Fr 08:30-12:30,13:30-18:00; Sa 09:00-16:00",butcher_shop,,,173019.1775353231,172320.60226843413,Heverlee station
377,50.8585804,4.6960089,Heverlee,341,3001,Naamsesteenweg,Snackbar Stefnick,,fast_food,sandwich_shop,,173041.42480477825,172072.0963986842,Heverlee station
378,50.8585298,4.696001,Heverlee,343,3001,Naamsesteenweg,Bon Hapart,,fast_food,italian;pasta;soup,,173040.89344502962,172066.46519825328,Heverlee station
379,50.8672091,4.6975221,Heverlee,33,3001,Naamsesteenweg,Exotic Mini Market,,grocery_shop,,,173143.70649879126,173032.42568108812,Heverlee naamse poort
380,50.8670726,4.6974499,Heverlee,39,3001,Naamsesteenweg,Numbur Nachtwinkel Sherpa Dawa,,grocery_shop,night_shop,,173138.69137785857,173017.21883829217,Heverlee naamse poort
381,50.8585309,4.6956183,Heverlee,294,3001,Naamsesteenweg,S&S Mini Market,"Mo-Th 10:00-20:00; Fr 10:00-21:00; Sa,Su 12:00-20:00; PH 10:00-21:00",grocery_shop,,,173013.94799037612,172066.46863513254,Heverlee station
382,50.8619217,4.6956716,Heverlee,192,3001,Naamsesteenweg,Khin,"Mo off; Tu-Th 11:30-14:00,17:30-20:30; Fr 11:30-14:00,17:30-21:00; Sa 17:30-21:00; Su 11:30-14:00,17:30-20:30",restaurant,thai,https://www.khin.be/,173016.03658570937,172443.6779656643,Heverlee station
383,50.8622326,4.6960738,Heverlee,213,3001,Naamsesteenweg,Furbetto,,restaurant,italian,https://www.furbetto.be,173044.1996317941,172478.3875176413,Heverlee station
384,50.8560177,4.6949427,Heverlee,380,3001,Naamsesteenweg,Spar,Mo-Fr 09:00-19:00; Sa 09:00-18:00,supermarket,,,172967.61141524985,171786.6907419525,Heverlee station
385,50.878491,4.7006786,Leuven,14,3000,Naamsestraat,Nosh,,cafe,coffee_shop;bagel;brunch,,173360.2848693382,174288.41954011656,Leuven-centrum
386,50.8766502,4.7005988,Leuven,49,3000,Naamsestraat,Noir Coffeebar,Mo-Fr 08:30-18:00; Sa 10:00-18:00; Su 10:30-16:30,cafe,coffee_shop,http://www.noir.coffee/,173355.58575798527,174083.62274610065,Leuven stadspark
387,50.874242,4.699811,Leuven,90,3000,Naamsestraat,The Sandwich Factory,,fast_food,sandwich_shop,,173301.3370276317,173815.4853533823,Leuven naamsestraat-noord
388,50.8771385,4.7004298,Leuven,36,3000,Naamsestraat,Pepas,,fast_food,friture,,173343.44836979307,174137.88825478405,Leuven-centrum
389,50.8773456,4.7006508,Leuven,29,3000,Naamsestraat,Tabi Loo,"Mo-Fr 11:30-14:30,17:00-21:00; Sa 17:00-21:00",fast_food,vegan,https://www.tabiloo.be/,173358.89905635055,174160.99581588525,Leuven stadspark
390,50.8718401,4.6994508,Leuven,116,3000,Naamsestraat,t Studentje,"Mo, Fr 11:30-14:00, 17:00-22:30; Tu-Th 11:30-14:00, 17:00-23:00; Sa-Su 17:00-23:00",fast_food,friture,,173277.17716025602,173548.1837544106,Sint-kwintens
391,50.8738081,4.6996379,Leuven,96,3000,Naamsestraat,STUKcafé,Mo-Fr 11:00-02:00; Sa-Su 14:00-02:00; Jul-Aug off,pub,,,173289.3691093388,173767.1636997601,Leuven naamsestraat-noord
392,50.8773052,4.7004313,Leuven,32,3000,Naamsestraat,K.V.H.V.,,pub,,,173343.4709377347,174156.43252861314,Leuven-centrum
393,50.8758023,4.7002173,Leuven,62,3000,Naamsestraat,Taste,Tu-Sa 19:00-24:00; Su 12:00-16:00,restaurant,fine_dining,https://www.leuventaste.be/,173329.15760052766,173989.18172979355,Damiaanplein
394,50.877379,4.7004411,Leuven,28,3000,Naamsestraat,Sushi Hungry Eye,"Su-Fr 11:30-15:00,17:00-22:00",restaurant,indian;sushi,https://www.sushi-hungryeye.be/,173344.123907758,174164.64516938943,Leuven-centrum
395,50.8783472,4.7009605,Leuven,5,3000,Naamsestraat,Ellis burger,,restaurant,burger,https://www.ellisgourmetburger.be/,173380.1959946372,174272.51204681396,Leuven-centrum
396,50.8784217,4.7006735,Leuven,16,3000,Naamsestraat,Den Angelus,,restaurant,belgian,https://www.den-angelus.be/,173359.96047438783,174280.708958989,Leuven-centrum
397,50.8766128,4.7006194,Leuven,51,3000,Naamsestraat,New Holy Cow,"We-Th,Sa 12:00-14:00,17:30-22:00; Fr 12:00-14:00; Su-Mo 12:00-14:30,17:30-22:00",restaurant,indian,https://www.newholycow.com/,173357.05422324224,174079.46884278394,Leuven stadspark
